,age,education,n_score,e_score,o_score,a_score,c_score,impulsiveness,ss,asian,black_asian,white_asian,white_black,other,white,other2,autralia,canada,new_zeland,ireland,uk,usa,male,female,alcohol,anphet,amyl,benzo,caffeine,cannabis,chocolate,cocaine,crack,ecstasy,heroine,ketamine,legal_h,lsd,meth,mushrooms,nicotine,semer,vsa
0,0.49788,-0.05921,0.31287,-0.57545,-0.58331,-0.91699,-0.00665,-0.21712,-1.18084,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,user,not_user,not_user,not_user,user,not_user,user,not_user,not_user,not_user,not_user,not_user,not_user,not_user,not_user,not_user,not_user,not_user,not_user
1,-0.07854,1.98437,-0.67825,1.93886,1.43533,0.76096,-0.14277,-0.71126,-0.21575,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,user,not_user,not_user,not_user,user,user,user,not_user,not_user,user,not_user,not_user,not_user,not_user,not_user,not_user,user,not_user,not_user
2,0.49788,-0.05921,-0.46725,0.80523,-0.84732,-1.6209,-1.0145,-1.37983,0.40148,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,user,not_user,not_user,not_user,user,not_user,user,not_user,not_user,not_user,not_user,not_user,not_user,not_user,not_user,not_user,not_user,not_user,not_user
3,-0.95197,1.16365,-0.14882,-0.80615,-0.01928,0.59042,0.58489,-1.37983,-1.18084,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,user,not_user,not_user,not_user,user,not_user,user,not_user,not_user,not_user,not_user,not_user,not_user,not_user,not_user,not_user,not_user,not_user,not_user
4,0.49788,1.98437,0.73545,-1.6334,-0.45174,-0.30172,1.30612,-0.21712,-0.21575,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,user,not_user,not_user,not_user,user,not_user,user,not_user,not_user,not_user,not_user,not_user,not_user,not_user,not_user,not_user,not_user,not_user,not_user
5,2.59171,-1.22751,-0.67825,-0.30033,-1.55521,2.03972,1.63088,-1.37983,-1.54858,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,not_user,not_user,not_user,not_user,user,not_user,user,not_user,not_user,not_user,not_user,not_user,not_user,not_user,not_user,not_user,user,not_user,not_user
6,1.09449,1.16365,-0.46725,-1.09207,-0.45174,-0.30172,0.93949,-0.21712,0.07987,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,user,not_user,not_user,not_user,user,not_user,user,not_user,not_user,not_user,not_user,not_user,not_user,not_user,not_user,not_user,user,not_user,not_user
7,0.49788,-1.7379,-1.32828,1.93886,-0.84732,-0.30172,1.63088,0.19268,-0.52593,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,user,not_user,not_user,not_user,user,not_user,user,not_user,not_user,not_user,not_user,not_user,not_user,not_user,not_user,not_user,not_user,not_user,not_user
8,0.49788,-0.05921,0.62967,2.57309,-0.97631,0.76096,1.13407,-1.37983,-1.54858,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,user,not_user,not_user,not_user,user,not_user,user,not_user,not_user,not_user,not_user,not_user,not_user,not_user,not_user,not_user,user,not_user,not_user
9,1.82213,1.16365,-0.24649,0.00332,-1.42424,0.59042,0.12331,-1.37983,-0.84637,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,user,not_user,not_user,not_user,user,not_user,user,not_user,not_user,not_user,not_user,not_user,not_user,not_user,not_user,not_user,user,not_user,not_user
10,-0.07854,0.45468,-1.05308,0.80523,-1.11902,-0.76096,1.81175,0.19268,0.07987,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,user,not_user,not_user,not_user,user,not_user,user,not_user,not_user,not_user,not_user,not_user,not_user,not_user,not_user,not_user,not_user,not_user,not_user
11,1.09449,-0.61113,-1.32828,0.00332,0.14143,-1.92595,-0.52745,0.52975,1.2247,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,user,not_user,not_user,not_user,user,user,user,not_user,not_user,not_user,not_user,not_user,not_user,not_user,not_user,not_user,user,not_user,not_user
12,1.82213,0.45468,2.28554,0.16767,0.44585,-1.6209,-0.78155,1.29221,0.07987,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,user,not_user,not_user,user,user,not_user,user,not_user,not_user,not_user,not_user,not_user,not_user,not_user,not_user,not_user,user,not_user,not_user
13,1.82213,-0.05921,-0.79151,0.80523,-0.01928,0.94156,3.46436,-0.71126,-0.84637,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,not_user,not_user,not_user,not_user,user,not_user,not_user,not_user,not_user,not_user,not_user,not_user,not_user,not_user,not_user,not_user,not_user,not_user,not_user
14,1.82213,-0.05921,-0.92104,1.45421,0.44585,-0.60633,1.63088,1.29221,0.7654,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,user,not_user,not_user,not_user,user,not_user,user,not_user,not_user,not_user,not_user,not_user,not_user,not_user,not_user,not_user,user,not_user,not_user
15,1.82213,0.45468,-2.05048,-1.50796,-1.55521,-1.07533,1.13407,-0.71126,-0.52593,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,user,not_user,not_user,not_user,user,not_user,user,not_user,not_user,not_user,not_user,not_user,not_user,not_user,not_user,not_user,not_user,not_user,not_user
16,0.49788,-0.61113,-1.55078,-0.80615,-1.68062,0.28783,0.7583,-0.21712,-2.07848,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,user,not_user,not_user,not_user,user,not_user,user,not_user,not_user,not_user,not_user,not_user,not_user,not_user,not_user,not_user,user,not_user,not_user
17,1.09449,-1.7379,0.52135,-1.23177,-0.31776,-0.45321,-1.38502,-1.37983,-0.84637,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,user,not_user,not_user,not_user,user,user,user,not_user,not_user,not_user,not_user,not_user,not_user,not_user,not_user,not_user,user,not_user,not_user
18,1.82213,0.45468,1.37297,-0.15487,-0.17779,-1.92595,-1.5184,-0.71126,-0.21575,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,user,not_user,not_user,not_user,user,not_user,user,not_user,not_user,not_user,not_user,not_user,not_user,not_user,not_user,not_user,not_user,not_user,not_user
19,0.49788,-0.05921,-0.34799,-1.7625,-2.39883,-1.92595,0.7583,-1.37983,-2.07848,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,user,not_user,not_user,not_user,user,not_user,user,not_user,not_user,not_user,not_user,not_user,not_user,not_user,user,not_user,not_user,not_user,not_user
20,1.09449,-0.05921,-0.79151,0.80523,0.7233,1.61108,-1.13788,0.19268,-0.21575,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,user,not_user,not_user,not_user,user,not_user,user,not_user,not_user,not_user,not_user,not_user,not_user,not_user,not_user,not_user,not_user,not_user,not_user
21,2.59171,-2.43591,-1.1943,0.47617,-1.11902,-0.60633,1.81175,-0.21712,-1.18084,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,user,not_user,not_user,not_user,user,not_user,user,not_user,not_user,not_user,not_user,not_user,not_user,not_user,not_user,not_user,not_user,not_user,not_user
22,1.09449,0.45468,0.41667,-0.94779,-0.84732,1.11406,-0.89891,-0.71126,0.07987,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,user,not_user,not_user,not_user,user,not_user,user,not_user,not_user,not_user,not_user,not_user,not_user,not_user,not_user,not_user,not_user,not_user,not_user
23,1.09449,-1.7379,1.60383,-3.27393,-1.27553,0.28783,-1.0145,-1.37983,-1.54858,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,user,not_user,not_user,user,user,not_user,user,not_user,not_user,not_user,not_user,not_user,not_user,not_user,not_user,not_user,user,not_user,not_user
24,1.82213,0.45468,-0.14882,0.63779,1.24033,0.76096,1.46191,-0.21712,-0.52593,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,user,not_user,not_user,not_user,user,not_user,user,not_user,not_user,not_user,not_user,not_user,not_user,not_user,not_user,not_user,user,not_user,not_user
25,1.09449,-0.61113,-0.79151,-0.43999,-1.27553,0.94156,-0.00665,-0.21712,0.40148,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,user,not_user,not_user,not_user,user,not_user,user,not_user,not_user,not_user,not_user,not_user,not_user,not_user,not_user,not_user,not_user,not_user,not_user
26,1.82213,-1.22751,-0.05188,-1.6334,-3.27393,-0.76096,0.58489,0.19268,-1.54858,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,user,not_user,not_user,not_user,user,not_user,user,not_user,not_user,not_user,not_user,not_user,not_user,not_user,not_user,not_user,user,not_user,not_user
27,0.49788,0.45468,0.52135,-1.23177,-0.01928,-0.01729,-2.18109,1.86203,0.40148,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,user,not_user,not_user,not_user,user,user,user,not_user,not_user,not_user,not_user,not_user,not_user,not_user,not_user,not_user,not_user,not_user,not_user
28,0.49788,1.16365,0.04257,-1.50796,-0.71727,0.28783,1.30612,0.19268,-0.52593,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,user,not_user,not_user,not_user,user,not_user,user,not_user,not_user,not_user,not_user,not_user,not_user,not_user,not_user,not_user,not_user,not_user,not_user
29,1.09449,1.98437,-1.32828,1.74091,0.88309,0.94156,1.81175,-0.21712,-0.52593,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,not_user,not_user,not_user,not_user,user,not_user,user,not_user,not_user,not_user,not_user,not_user,not_user,not_user,not_user,not_user,not_user,not_user,not_user
30,1.09449,-1.7379,0.31287,-0.80615,-1.27553,-1.47955,-0.65253,-1.37983,0.07987,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,user,not_user,not_user,not_user,user,not_user,user,not_user,not_user,not_user,not_user,not_user,not_user,not_user,not_user,not_user,not_user,not_user,not_user
31,0.49788,-1.7379,-1.1943,-0.80615,0.14143,-0.60633,-0.00665,-1.37983,-0.84637,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,not_user,not_user,not_user,not_user,not_user,not_user,user,not_user,not_user,not_user,not_user,not_user,not_user,not_user,not_user,not_user,not_user,not_user,not_user
32,0.49788,0.45468,-0.79151,-1.23177,-0.01928,0.43852,-0.00665,0.19268,-0.84637,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,user,not_user,not_user,not_user,user,not_user,user,not_user,not_user,not_user,not_user,not_user,not_user,not_user,not_user,not_user,user,not_user,not_user
33,-0.95197,0.45468,0.41667,-0.30033,0.29338,1.2861,-0.14277,-0.71126,-1.54858,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,user,not_user,not_user,not_user,user,not_user,user,not_user,not_user,not_user,not_user,not_user,not_user,not_user,not_user,not_user,not_user,not_user,not_user
34,0.49788,0.45468,1.02119,0.63779,0.88309,-2.90161,-0.78155,0.52975,1.92173,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,user,not_user,not_user,not_user,user,not_user,user,not_user,not_user,not_user,not_user,not_user,not_user,not_user,not_user,not_user,user,not_user,not_user
35,2.59171,-2.43591,-0.24649,-0.80615,-2.63199,-0.30172,-0.78155,0.52975,-1.54858,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,not_user,not_user,not_user,not_user,user,not_user,user,not_user,not_user,not_user,not_user,not_user,not_user,not_user,not_user,not_user,user,not_user,not_user
36,0.49788,0.45468,-0.24649,-0.57545,-0.17779,-0.01729,-1.5184,-0.21712,-0.21575,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,user,not_user,not_user,not_user,user,not_user,user,not_user,not_user,not_user,not_user,not_user,not_user,not_user,not_user,not_user,not_user,not_user,not_user
37,1.82213,-2.43591,0.31287,0.32197,1.06238,0.13136,-0.65253,0.52975,-0.52593,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,user,not_user,not_user,not_user,user,not_user,user,not_user,not_user,not_user,not_user,not_user,not_user,not_user,not_user,not_user,user,not_user,not_user
38,1.09449,0.45468,-1.55078,1.2861,0.29338,-0.01729,0.7583,-0.21712,-0.84637,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,user,not_user,not_user,not_user,user,not_user,user,not_user,not_user,not_user,not_user,not_user,not_user,not_user,not_user,not_user,not_user,not_user,not_user
